Rank;Title;TotalCites;ImpactFactor;EigenfactorScore
1337;COMMON MARKET LAW REVIEW;1295;4.073;0.00167
1338;CONTEMPORARY PHYSICS;1610;4.070;0.00227
1339;AMERICAN JOURNAL OF PATHOLOGY;39201;4.069;0.03431
1339;Metallomics;4240;4.069;0.00960
1341;Current Neuropharmacology;2851;4.068;0.00452
1342;Journal of Genetics and Genomics;1811;4.066;0.00410
1343;PLANT AND CELL PHYSIOLOGY;14544;4.059;0.01896
1344;International Journal of Biological Sciences;4432;4.057;0.00997
1344;NUCLEAR FUSION;13377;4.057;0.01664
1346;JOURNAL OF ARCHAEOLOGICAL RESEARCH;678;4.056;0.00089
1347;JOURNAL OF CLINICAL MICROBIOLOGY;53067;4.054;0.05934
1348;Journal of Ginseng Research;1364;4.053;0.00247
1349;Geoscience Frontiers;1580;4.051;0.00622
1349;IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS;8926;4.051;0.01809
1349;ORGANOMETALLICS;40867;4.051;0.04562
1352;AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS;1262;4.048;0.00242
1353;INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH;7652;4.047;0.01197
1354;JOURNAL OF CLINICAL PERIODONTOLOGY;13300;4.046;0.01166
1355;CANCER GENE THERAPY;2928;4.044;0.00361
1356;Obesity;17578;4.042;0.03784
1357;AIDS PATIENT CARE AND STDS;3622;4.041;0.00676
1357;AIDS PATIENT CARE AND STDS;3622;4.041;0.00676
1359;Environmental Sciences Europe;551;4.040;0.00145
1360;AGRICULTURAL AND FOREST METEOROLOGY;15550;4.039;0.01997
1360;DENTAL MATERIALS;12466;4.039;0.01256
1360;ENERGY POLICY;41513;4.039;0.04668
1360;ENERGY POLICY;41513;4.039;0.04668
1360;GEOLOGICAL SOCIETY OF AMERICA BULLETIN;17784;4.039;0.01303
1365;ALLERGOLOGY INTERNATIONAL;1696;4.036;0.00346
1366;INTERNATIONAL JOURNAL OF CARDIOLOGY;27788;4.034;0.07790
1367;Current Opinion in Chemical Engineering;1381;4.033;0.00434
1368;AUTOMATION IN CONSTRUCTION;6520;4.032;0.00802
1369;ECOSYSTEMS;8825;4.030;0.01116
1370;EUROPEAN RADIOLOGY;18615;4.027;0.03412
1370;SEMINARS IN RADIATION ONCOLOGY;2480;4.027;0.00362
1372;CHROMOSOMA;3527;4.021;0.00585
1372;Cancer Prevention Research;5348;4.021;0.01193
1372;Journal of the Academy of Nutrition and Dietetics;3687;4.021;0.01437
1375;Frontiers in Microbiology;25111;4.019;0.08495
1375;Immunity & Ageing;749;4.019;0.00158
1377;AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM;18777;4.018;0.02280
1378;AGE AND AGEING;10751;4.013;0.01472
1378;RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES;10237;4.013;0.01981
1380;JOURNAL OF ENDOCRINOLOGY;11319;4.012;0.01212
1381;CURRENT OPINION IN NEUROLOGY;5344;4.010;0.01020
1381;JOURNAL OF BIOLOGICAL CHEMISTRY;366247;4.010;0.32084
1381;Nonlinear Analysis-Hybrid Systems;1232;4.010;0.00289
1384;GOVERNMENT INFORMATION QUARTERLY;2837;4.009;0.00302
1385;JOURNAL OF ENVIRONMENTAL MANAGEMENT;27354;4.005;0.03586
1385;JOURNAL OF GENERAL INTERNAL MEDICINE;17822;4.005;0.02850
1387;International Journal of Applied Earth Observation and Geoinformation;5507;4.003;0.01251
1388;Educational Researcher;6755;4.000;0.00640
1388;Geochemical Perspectives;131;4.000;0.00080
1388;JOURNAL OF PSYCHIATRIC RESEARCH;14397;4.000;0.02248
1388;JOURNAL OF PSYCHIATRIC RESEARCH;14397;4.000;0.02248
1388;Journal of Computer-Mediated Communication;4181;4.000;0.00512
1393;American Journal of Cancer Research;3246;3.998;0.00825
1393;METHODS;19646;3.998;0.02479
1395;COLLOIDS AND SURFACES B-BIOINTERFACES;25844;3.997;0.03480
1396;CYTOTHERAPY;5589;3.993;0.00902
1396;JOURNAL OF WORLD BUSINESS;4297;3.993;0.00395
1396;ORE GEOLOGY REVIEWS;7007;3.993;0.01051
1399;JOURNAL OF HUMAN EVOLUTION;9100;3.992;0.01118
1399;JOURNAL OF HUMAN EVOLUTION;9100;3.992;0.01118
1401;JOURNAL OF NETWORK AND COMPUTER APPLICATIONS;5072;3.991;0.01037
1401;RUSSIAN CHEMICAL REVIEWS;4119;3.991;0.00301
1403;PHARMACOECONOMICS;4255;3.989;0.00729
1403;PHARMACOECONOMICS;4255;3.989;0.00729
1403;Stem Cells International;3818;3.989;0.01059
1406;Advances in Parasitology;2048;3.986;0.00265
1407;ECOLOGICAL INDICATORS;13782;3.983;0.02862
1408;GLOBAL AND PLANETARY CHANGE;8674;3.982;0.01535
1409;INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY;6259;3.981;0.01455
1410;Pediatric Obesity;1632;3.980;0.00702
1411;Cold Spring Harbor Perspectives in Medicine;4979;3.979;0.02246
1412;Database-The Journal of Biological Databases and Curation;2658;3.978;0.01108
1412;MOLECULAR PHARMACOLOGY;18308;3.978;0.01600
1412;Therapeutic Advances in Endocrinology and Metabolism;421;3.978;0.00120
1415;FOOD AND CHEMICAL TOXICOLOGY;24602;3.977;0.02446
1415;IEEE TRANSACTIONS ON MULTIMEDIA;6203;3.977;0.01710
1417;ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;16338;3.974;0.02093
1417;EXPERT OPINION ON BIOLOGICAL THERAPY;4426;3.974;0.00837
1419;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH;13779;3.973;0.01834
1419;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH;13779;3.973;0.01834
1421;CRYSTAL GROWTH & DESIGN;28165;3.972;0.04034
1421;IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING;5647;3.972;0.00826
1423;IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS;8848;3.971;0.02415
1424;Journal of Advances in Modeling Earth Systems;2238;3.970;0.01065
1425;Future Medicinal Chemistry;3456;3.969;0.00886
1425;Structural Dynamics;540;3.969;0.00257
1427;Cambridge Journal of Regions Economy and Society;1188;3.968;0.00235
1427;TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES;7390;3.968;0.01644
1429;APOPTOSIS;6281;3.967;0.00739
1429;Fungal Biology Reviews;798;3.967;0.00137
1429;LEARNING AND INSTRUCTION;4879;3.967;0.00729
1432;HIPPOCAMPUS;8831;3.966;0.01507
1433;OCCUPATIONAL AND ENVIRONMENTAL MEDICINE;8486;3.965;0.01028
1434;PATTERN RECOGNITION;22195;3.962;0.02754
1435;ENDOCRINOLOGY;43605;3.961;0.04071
1436;Cancer Cell International;2393;3.960;0.00496
1436;TRANSPLANTATION;24731;3.960;0.03096
1438;EUROPEAN JOURNAL OF ANAESTHESIOLOGY;4097;3.958;0.00511
1438;SCHIZOPHRENIA RESEARCH;19650;3.958;0.03246
1438;SCHIZOPHRENIA RESEARCH;19650;3.958;0.03246
1441;FUEL PROCESSING TECHNOLOGY;17840;3.956;0.02252
1442;PLoS Computational Biology;23758;3.955;0.08279
1443;Archives of Disease in Childhood-Fetal and Neonatal Edition;3893;3.953;0.00961
1444;BIOTECHNOLOGY AND BIOENGINEERING;24560;3.952;0.02017
1445;JOURNAL OF PROTEOME RESEARCH;21459;3.950;0.04122
1446;Virulence;2944;3.947;0.00845
1447;Wiley Interdisciplinary Reviews-Water;547;3.943;0.00221
1448;JOURNAL OF CARDIAC FAILURE;5177;3.942;0.01043
1449;Genome Biology and Evolution;5746;3.940;0.02469
1450;PLASMA SOURCES SCIENCE & TECHNOLOGY;7391;3.939;0.01061
1451;IEEE-ASME TRANSACTIONS ON MECHATRONICS;8132;3.936;0.01643
1452;IEEE Circuits and Systems Magazine;855;3.933;0.00106
1452;Reviews in Computational Chemistry;506;3.933;0.00030
1454;BMC PLANT BIOLOGY;10552;3.930;0.02315
1454;HUMAN GENETICS;8757;3.930;0.01557
1454;THEORETICAL AND APPLIED GENETICS;19565;3.930;0.01588
1457;American Economic Journal-Economic Policy;1637;3.929;0.01823
1457;BIOORGANIC CHEMISTRY;2123;3.929;0.00303
1457;GEOSTANDARDS AND GEOANALYTICAL RESEARCH;1807;3.929;0.00292
1457;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;5609;3.929;0.01040
1461;SEPARATION AND PURIFICATION TECHNOLOGY;24362;3.927;0.02903
1462;SEMINARS IN HEMATOLOGY;2305;3.926;0.00378
1463;Forensic Toxicology;714;3.924;0.00193
1464;JOURNAL OF CELLULAR PHYSIOLOGY;18225;3.923;0.01999
1465;Journal of Neural Engineering;5551;3.920;0.00975
1466;Microbial Biotechnology;2741;3.913;0.00561
1467;Journal of Experimental Criminology;993;3.912;0.00216
1468;ENERGY ECONOMICS;13099;3.910;0.02125
1469;IEEE TRANSACTIONS ON BROADCASTING;2271;3.909;0.00315
1469;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;20621;3.909;0.03000
1471;APPLIED SOFT COMPUTING;14474;3.907;0.02719
1471;JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY;4543;3.907;0.00602
1471;PRECAMBRIAN RESEARCH;16336;3.907;0.02006
1474;AUTISM;3348;3.906;0.00703
1474;JOURNAL OF BIOLOGICAL RHYTHMS;3031;3.906;0.00344
1474;PHYSICAL CHEMISTRY CHEMICAL PHYSICS;95773;3.906;0.20629
1477;DIABETES-METABOLISM RESEARCH AND REVIEWS;4659;3.904;0.00920
1478;Frontiers in Molecular Neuroscience;2881;3.902;0.00979
1479;EPMA Journal;647;3.900;0.00090
1479;International Journal of Clinical and Health Psychology;917;3.900;0.00136
1479;International Small Business Journal-Researching Entrepreneurship;2530;3.900;0.00217
1479;Surgery for Obesity and Related Diseases;5351;3.900;0.01166
1483;SYSTEMATIC AND APPLIED MICROBIOLOGY;5083;3.899;0.00545
1484;INTERNATIONAL JOURNAL OF EATING DISORDERS;8732;3.897;0.01016
1484;INTERNATIONAL JOURNAL OF EATING DISORDERS;8732;3.897;0.01016
1486;CELLULAR AND MOLECULAR NEUROBIOLOGY;4181;3.895;0.00593
1486;ECOLOGICAL ECONOMICS;21723;3.895;0.01837
1486;ECOLOGICAL ECONOMICS;21723;3.895;0.01837
1486;OBESITY SURGERY;12135;3.895;0.01835
1490;AMERICAN JOURNAL OF SCIENCE;8001;3.893;0.00416
1490;Journal of Cheminformatics;2117;3.893;0.00552
1492;INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER;53860;3.891;0.05375
1493;COLUMBIA LAW REVIEW;3705;3.890;0.00550
1493;Deutsches Arzteblatt International;3673;3.890;0.00694
1493;INFORMATION & MANAGEMENT;6406;3.890;0.00399
1493;INFORMATION & MANAGEMENT;6406;3.890;0.00399
1497;FUNCTIONAL & INTEGRATIVE GENOMICS;1857;3.889;0.00268
1498;BASIN RESEARCH;2762;3.886;0.00351
1498;Journal of Energy Chemistry;1871;3.886;0.00393
1500;JOURNAL OF NATURAL PRODUCTS;24905;3.885;0.02302
1501;AQUATIC TOXICOLOGY;15035;3.884;0.01534
1502;EXPERT OPINION ON INVESTIGATIONAL DRUGS;4786;3.883;0.00743
1503;CEPHALALGIA;8721;3.882;0.01394
1504;EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY;8352;3.877;0.01291
1504;Frontiers in Neuroscience;9487;3.877;0.03453
1504;Targeted Oncology;1008;3.877;0.00256
1507;PHYTOCHEMISTRY REVIEWS;2271;3.875;0.00280
1508;HEREDITY;9830;3.872;0.01207
1509;NeuroImage-Clinical;4242;3.869;0.01905
1510;CANCER CYTOPATHOLOGY;2544;3.866;0.00438
1511;EXPERT REVIEWS IN MOLECULAR MEDICINE;1790;3.865;0.00162
1511;Journal of NeuroEngineering and Rehabilitation;4325;3.865;0.00912
1513;ANALYST;28767;3.864;0.04741
1513;Current Psychiatry Reports;3447;3.864;0.00939
1513;Current Psychiatry Reports;3447;3.864;0.00939
1513;JOURNAL OF INTERACTIVE MARKETING;3174;3.864;0.00289
1517;INTERNATIONAL JOURNAL OF PHARMACEUTICS;45367;3.862;0.03877
1518;Clinical Colorectal Cancer;1264;3.861;0.00262
1519;International Journal of Stroke;3825;3.859;0.01488
1520;Journal of Cystic Fibrosis;3775;3.858;0.00855
1521;ANNALS OF SURGICAL ONCOLOGY;26592;3.857;0.05344
1521;BIOCHEMICAL JOURNAL;47538;3.857;0.03793
1521;LITHOS;19000;3.857;0.03363
1524;INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL;6172;3.856;0.01439
1524;OSTEOPOROSIS INTERNATIONAL;16379;3.856;0.02549
1526;Sustainability Science;1687;3.855;0.00282
1527;JOURNAL OF MARKETING RESEARCH;18792;3.854;0.01330
1528;CURRENT OPINION IN LIPIDOLOGY;3849;3.853;0.00610
1529;NEUROINFORMATICS;1104;3.852;0.00282
1530;MOLECULAR CARCINOGENESIS;5244;3.851;0.00763
1531;IEEE Journal of Biomedical and Health Informatics;2922;3.850;0.00810
1532;INDUSTRIAL CROPS AND PRODUCTS;19421;3.849;0.03281
1532;Journal of the Taiwan Institute of Chemical Engineers;6938;3.849;0.01251
1534;JOURNAL OF NUCLEAR CARDIOLOGY;3508;3.847;0.00412
1535;NEUROGASTROENTEROLOGY AND MOTILITY;7401;3.842;0.01496
1536;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;13609;3.838;0.01868
1536;Internet Research;2062;3.838;0.00154
1536;Internet Research;2062;3.838;0.00154
1539;Journal of Innate Immunity;1922;3.837;0.00506
1540;GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS;2009;3.833;0.00362
1540;LANDSCAPE ECOLOGY;8200;3.833;0.01161
1540;SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL;4307;3.833;0.00340
1540;Topics in Organometallic Chemistry;1642;3.833;0.00366
1544;CLIMATE POLICY;1755;3.832;0.00356
1545;Frontiers in Pharmacology;6812;3.831;0.02119
1545;Microbial Cell Factories;6026;3.831;0.01309
1547;Skeletal Muscle;880;3.828;0.00305
1548;ENVIRONMENTAL SCIENCE & POLICY;6731;3.826;0.01306
1548;JOURNAL OF IMMUNOTHERAPY;3093;3.826;0.00459
1550;BIODRUGS;1435;3.825;0.00246
1551;Family Business Review;3017;3.824;0.00135
1551;SOIL & TILLAGE RESEARCH;10550;3.824;0.00950
1553;AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS;1917;3.822;0.00419
1553;Chinese Journal of Cancer;2161;3.822;0.00396
1555;EVOLUTION;32227;3.818;0.03223
1555;Electronic Markets;737;3.818;0.00060
1555;Swarm and Evolutionary Computation;1517;3.818;0.00274
1558;ATMOSPHERIC RESEARCH;9182;3.817;0.01713
1559;MOLECULAR MICROBIOLOGY;35698;3.816;0.03617
1560;Energy Research & Social Science;1992;3.815;0.00523
1560;JOURNAL OF PEASANT STUDIES;3021;3.815;0.00670
1562;ARTIFICIAL INTELLIGENCE REVIEW;1896;3.814;0.00254
1563;MOLECULAR AND CELLULAR BIOLOGY;58133;3.813;0.04720
1563;PHYSICAL REVIEW B;361576;3.813;0.40133
1563;PROGRESS IN PLANNING;784;3.813;0.00067
1566;PHARMACOGENOMICS JOURNAL;2600;3.812;0.00489
1567;Landslides;3182;3.811;0.00540
1568;ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;5772;3.810;0.00695
1568;Experimental Neurobiology;704;3.810;0.00232
1568;PSYCHOSOMATIC MEDICINE;12288;3.810;0.01015
1568;PSYCHOSOMATIC MEDICINE;12288;3.810;0.01015
1572;Allergy Asthma & Immunology Research;1385;3.809;0.00343
1572;CELLULOSE;10433;3.809;0.01408
1574;BIOLOGY AND FERTILITY OF SOILS;8076;3.808;0.00658
1575;Endocrine Practice;4219;3.805;0.00986
1576;AAPS Journal;5333;3.804;0.00910
1576;Journal of Chemical Information and Modeling;14365;3.804;0.02042
1578;Management Accounting Research;2261;3.800;0.00106
1579;Clinical Epidemiology;2200;3.799;0.00969
1580;STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL;2292;3.798;0.00314
1581;CRIMINOLOGY;6399;3.796;0.00555
1582;IMMUNOLOGY AND CELL BIOLOGY;5385;3.795;0.00961
1583;ACS Medicinal Chemistry Letters;4851;3.794;0.01490
1583;JOURNAL OF THE EUROPEAN CERAMIC SOCIETY;22555;3.794;0.02199
1585;JOURNAL OF HYDROMETEOROLOGY;8437;3.790;0.01582
1586;BIOELECTROCHEMISTRY;4076;3.789;0.00442
1586;LANGMUIR;118255;3.789;0.11952
1586;TELEMATICS AND INFORMATICS;1574;3.789;0.00251
1589;JOURNAL OF AFFECTIVE DISORDERS;26957;3.786;0.05338
1589;JOURNAL OF AFFECTIVE DISORDERS;26957;3.786;0.05338
1589;Journal of Neuropsychology;582;3.786;0.00134
1589;Journal of Neuropsychology;582;3.786;0.00134
1593;AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY;11713;3.785;0.01675
1594;Briefings in Functional Genomics;1557;3.783;0.00413
1594;JOURNAL OF NEUROLOGY;14359;3.783;0.02516
1596;CURRENT OPINION IN INFECTIOUS DISEASES;3582;3.782;0.00823
1597;Emotion Review;1942;3.780;0.00530
1597;PALLIATIVE MEDICINE;4636;3.780;0.00858
1599;ANNALS OF THORACIC SURGERY;34006;3.779;0.04355
1599;CHILD DEVELOPMENT;29042;3.779;0.02327
1599;JOURNAL OF ALLOYS AND COMPOUNDS;84802;3.779;0.10578
1602;CLIMATE DYNAMICS;17023;3.774;0.04698
1602;International Journal of Precision Engineering and Manufacturing-Green Technology;561;3.774;0.00135
1602;MOLECULAR GENETICS AND METABOLISM;7103;3.774;0.01238
1605;APPLIED THERMAL ENGINEERING;35677;3.771;0.04757
1605;Annals of Intensive Care;1668;3.771;0.00568
1607;JOURNAL OF DENTISTRY;8247;3.770;0.01202
1608;Earth System Dynamics;903;3.769;0.00485
1609;Autism Research;2439;3.768;0.00698
1609;Autism Research;2439;3.768;0.00698
1609;EXPERT SYSTEMS WITH APPLICATIONS;33177;3.768;0.04439
1609;Journal of Biophotonics;2723;3.768;0.00619
1613;DYES AND PIGMENTS;14560;3.767;0.01500
1613;FRESHWATER BIOLOGY;15165;3.767;0.01396
1613;IEEE TRANSACTIONS ON ENERGY CONVERSION;10798;3.767;0.01243
1616;Journal of Occupational Health Psychology;3320;3.766;0.00465
1617;AMERICAN JOURNAL OF SOCIOLOGY;18425;3.764;0.00813
1617;SURVEY OF OPHTHALMOLOGY;5468;3.764;0.00467
1619;SURVEYS IN GEOPHYSICS;2250;3.761;0.00528
1619;Viruses-Basel;6145;3.761;0.02119
1621;JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY;2994;3.755;0.00439
1622;LIVER TRANSPLANTATION;9930;3.752;0.01390
1623;RESPIRATORY RESEARCH;6418;3.751;0.01121
1624;ECONOMETRICA;32128;3.750;0.05193
1624;ECONOMETRICA;32128;3.750;0.05193
1624;European Review of Social Psychology;809;3.750;0.00144
1627;COMPUTER PHYSICS COMMUNICATIONS;18470;3.748;0.03371
1628;Pharmaceutics;992;3.746;0.00193
1629;Algal Research-Biomass Biofuels and Bioproducts;3273;3.745;0.00810
1630;DIABETES & METABOLISM;3343;3.744;0.00463
1631;GENETICS SELECTION EVOLUTION;2701;3.743;0.00487
1632;EUROPEAN POLYMER JOURNAL;18372;3.741;0.01872
1633;GEODERMA;18686;3.740;0.02027
1634;MECHANISMS OF AGEING AND DEVELOPMENT;5523;3.739;0.00438
1634;RIVISTA DEL NUOVO CIMENTO;581;3.739;0.00084
1636;Fungal Ecology;1937;3.736;0.00526
1637;Current Opinion in Food Science;675;3.734;0.00182
1637;NUTRITION;10167;3.734;0.01301
1637;SEISMOLOGICAL RESEARCH LETTERS;3856;3.734;0.01113
1640;New Biotechnology;2343;3.733;0.00474
1641;BMC GENOMICS;37516;3.730;0.09974
1641;PALAEONTOLOGY;4020;3.730;0.00505
1643;JOURNAL OF COMMUNICATION;6946;3.729;0.00967
1644;JOURNAL OF HYDROLOGY;46099;3.727;0.05549
1645;Current Osteoporosis Reports;1348;3.726;0.00365
1646;COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;2557;3.724;0.00379
1647;EARTH SURFACE PROCESSES AND LANDFORMS;10978;3.722;0.01306
1647;Journal of Proteomics;9432;3.722;0.02536
1649;Physica Status Solidi-Rapid Research Letters;3073;3.721;0.00816
1650;Brain Imaging and Behavior;1928;3.719;0.00679
1651;CELL CALCIUM;4807;3.718;0.00683
1652;JOURNAL OF CHROMATOGRAPHY A;61361;3.716;0.05092
1653;GEOTEXTILES AND GEOMEMBRANES;3212;3.715;0.00313
1654;Journal of Cancer Survivorship;2225;3.713;0.00753
1654;Journal of Cancer Survivorship;2225;3.713;0.00753
1654;WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY;2191;3.713;0.00471
1657;PLANT SCIENCE;12750;3.712;0.01446
1658;Diabetes & Metabolism Journal;1222;3.710;0.00372
1659;OIKOS;21636;3.709;0.01771
1659;Soft Matter;35376;3.709;0.08426
1659;Wiley Interdisciplinary Reviews-Systems Biology and Medicine;1009;3.709;0.00293
1662;ATMOSPHERIC ENVIRONMENT;51951;3.708;0.05429
1663;JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS;30150;3.706;0.01963
1663;Metacognition and Learning;801;3.706;0.00143
1665;BIOGERONTOLOGY;2135;3.702;0.00351
1665;Cancer Management and Research;739;3.702;0.00197
1667;JOURNAL OF MANUFACTURING SYSTEMS;2307;3.699;0.00370
1668;NEUROEPIDEMIOLOGY;3261;3.697;0.00564
1669;Journal of Trauma and Acute Care Surgery;7701;3.695;0.03034
1670;IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA;1569;3.694;0.00273
1671;Chemistry-An Asian Journal;10936;3.692;0.02164
1671;Expert Review of Neurotherapeutics;3888;3.692;0.00691
1673;MULTIVARIATE BEHAVIORAL RESEARCH;5881;3.691;0.00642
1673;MULTIVARIATE BEHAVIORAL RESEARCH;5881;3.691;0.00642
1675;Molecular Therapy-Oncolytics;254;3.690;0.00083
1676;Chinese Journal of Cancer Research;1128;3.689;0.00242
1677;EJSO;7996;3.688;0.01475
1678;INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;37071;3.687;0.09253
1679;Molecular Therapy-Methods & Clinical Development;665;3.681;0.00282
1680;JOURNAL OF GENERAL PHYSIOLOGY;7802;3.680;0.00935
1680;ORGANIC ELECTRONICS;11814;3.680;0.02144
1682;BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS;13602;3.679;0.02544
1683;Frontiers in Plant Science;21296;3.678;0.07142
1683;INDUSTRIAL MARKETING MANAGEMENT;8498;3.678;0.00561
1683;MOLECULAR ENDOCRINOLOGY;12103;3.678;0.01199
1686;JOURNAL OF DERMATOLOGICAL SCIENCE;4421;3.675;0.00726
1687;Dialogues in Clinical Neuroscience;2851;3.671;0.00485
1688;Journal of Attention Disorders;3100;3.668;0.00619
1688;Journal of Attention Disorders;3100;3.668;0.00619
1690;ACTA ASTRONOMICA;1255;3.667;0.00194
1690;EUROPEAN CELLS & MATERIALS;3115;3.667;0.00429
1690;FOOD CONTROL;17079;3.667;0.02808
1690;IEEE Transactions on Automation Science and Engineering;3717;3.667;0.00882
1690;INTEGRATED COMPUTER-AIDED ENGINEERING;587;3.667;0.00088
1690;JOURNAL OF INTELLIGENT MANUFACTURING;3457;3.667;0.00464
1690;JOURNAL OF PEDIATRICS;31289;3.667;0.04781
1690;Journal of Destination Marketing & Management;551;3.667;0.00073
1690;Journal of Purchasing and Supply Management;1476;3.667;0.00131
1699;ENVIRONMENTAL AND EXPERIMENTAL BOTANY;8583;3.666;0.00989
1700;GLYCOBIOLOGY;7259;3.664;0.00908
1700;Journal of Neuroimmune Pharmacology;2439;3.664;0.00557
1702;JOURNAL OF THE ELECTROCHEMICAL SOCIETY;70901;3.662;0.05588
1703;ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE;9834;3.658;0.01160
1704;BRITISH JOURNAL OF NUTRITION;26011;3.657;0.03540
1704;Journal of Systematics and Evolution;1138;3.657;0.00276
1706;INTERNATIONAL JOURNAL OF NURSING STUDIES;7971;3.656;0.01269
1706;INTERNATIONAL JOURNAL OF NURSING STUDIES;7971;3.656;0.01269
1708;AMERICAN JOURNAL OF NEURORADIOLOGY;22667;3.653;0.02984
1708;Biochemia Medica;1307;3.653;0.00399
1708;CURRENT OPINION IN ONCOLOGY;2962;3.653;0.00563
1708;JOURNAL OF ECONOMIC LITERATURE;8586;3.653;0.01512
1712;FOOD QUALITY AND PREFERENCE;7603;3.652;0.00867
1712;JOURNAL OF LIGHTWAVE TECHNOLOGY;22458;3.652;0.03006
1714;Environmental Science-Water Research & Technology;687;3.649;0.00201
1714;MICROPOROUS AND MESOPOROUS MATERIALS;22438;3.649;0.02589
1716;JOURNAL OF MATERIALS PROCESSING TECHNOLOGY;29948;3.647;0.01891
1717;ANNALS OF BOTANY;19918;3.646;0.02000
1718;APPLIED CLAY SCIENCE;13193;3.641;0.01345
1719;DRUG METABOLISM AND DISPOSITION;14898;3.640;0.01355
1720;JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY;4162;3.638;0.00591
1721;Annual Review of Political Science;3236;3.636;0.00746
1721;EUROPEAN JOURNAL OF HUMAN GENETICS;9453;3.636;0.02405
1723;Journal of Intellectual Capital;2489;3.634;0.00048
1724;APPLIED AND ENVIRONMENTAL MICROBIOLOGY;100091;3.633;0.07189
1724;Journal of Neurologic Physical Therapy;964;3.633;0.00153
1724;NEWSLETTERS ON STRATIGRAPHY;618;3.633;0.00116
1727;BEST PRACTICE & RESEARCH IN CLINICAL GASTROENTEROLOGY;3382;3.632;0.00526
1728;Journal of Behavioral Addictions;945;3.628;0.00270
1728;Journal of Behavioral Addictions;945;3.628;0.00270
1730;Frontiers in Zoology;2088;3.627;0.00541
1731;CONTRIBUTIONS TO MINERALOGY AND PETROLOGY;17107;3.626;0.01570
1731;IEEE Transactions on Emerging Topics in Computing;721;3.626;0.00256
1733;SOCIOLOGICAL METHODS & RESEARCH;4177;3.625;0.00462
1734;EVOLUTION AND HUMAN BEHAVIOR;4043;3.623;0.00673
1734;EVOLUTION AND HUMAN BEHAVIOR;4043;3.623;0.00673
1734;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;7642;3.623;0.01209
1737;AQUATIC SCIENCES;2673;3.622;0.00372
1737;International Review of Cell and Molecular Biology;1641;3.622;0.00509
1737;Structural Control & Health Monitoring;2472;3.622;0.00399
1740;ASN Neuro;909;3.617;0.00253
1740;EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE;3837;3.617;0.00540
1742;AMBIO;7002;3.616;0.00803
1742;DISEASES OF THE COLON & RECTUM;14063;3.616;0.01347
1742;TOXICOLOGY AND APPLIED PHARMACOLOGY;19118;3.616;0.01896
1745;CLINICAL NEUROPHYSIOLOGY;18399;3.614;0.02307
1745;MICROBIAL ECOLOGY;9672;3.614;0.01193
1747;CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE;4997;3.612;0.00634
1747;CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE;4997;3.612;0.00634
1747;JOURNAL OF MAGNETIC RESONANCE IMAGING;16398;3.612;0.02744
